date,iexId,isEnabled,name,symbol,type
2019-04-02,15196,True,Equitrans Midstream Corporation,ETRN,cs
2019-04-02,9796,True,Etsy Inc.,ETSY,cs
2019-04-02,14937,True,Entasis Therapeutics Holdings Inc.,ETTX,cs
2019-04-02,2285,True,Eaton Vance Corporation Tax-Managed Buy-Write Opportunities Fund of Beneficial Interest,ETV,cs
2019-04-02,2286,True,Eaton Vance Corporation Tax-Managed Global Buy-Write Opportunites Fund of Beneficial Interest,ETW,cs
2019-04-02,2287,True,Eaton Vance Municipal Income 2028 Term Trust of Beneficial Interest,ETX,cs
2019-04-02,2288,True,Eaton Vance Tax-Managed Diversified Equity Income Fund of Beneficial Interest,ETY,cs
2019-04-02,8597,True,WisdomTree Europe Quality Dividend Growth Fund,EUDG,N/A
2019-04-02,10491,True,ProShares MSCI Europe Dividend Growers,EUDV,N/A
2019-04-02,11652,True,Direxion Daily European Financials Bull 2X Shares,EUFL,N/A
2019-04-02,2290,True,iShares MSCI Europe Financial Sector Index Fund,EUFN,et
2019-04-02,2291,True,ProShares Short Euro,EUFX,et
2019-04-02,2292,True,ProShares Short MSCI Emerging Markets,EUM,et
2019-04-02,10996,False,WISDOMTREE EUROPE MULTIFACTO,EUMF,N/A
2019-04-02,8687,True,iShares Edge MSCI Min Vol Europe,EUMV,N/A
2019-04-02,2293,True,ProShares UltraShort Euro,EUO,et
2019-04-02,8226,True,Direxion Daily FTSE Europe Bull 3x Shares,EURL,N/A
2019-04-02,9688,True,Euronav NV,EURN,cs
2019-04-02,10416,True,Xtrackers Eurozone Equity,EURZ,N/A
2019-04-02,2294,True,iShares MSCI USA Equal Weighted,EUSA,et
2019-04-02,9787,True,WisdomTree Europe Hedged SmallCap Equity Fund,EUSC,N/A
2019-04-02,13109,True,Direxion Daily EURO STOXX 50? Bull 3X Shares,EUXL,N/A
2019-04-02,2295,True,Eaton Vance Corporation,EV,cs
2019-04-02,9435,True,Enviva Partners LP representing limited partner interests,EVA,cs
2019-04-02,11747,True,Everbridge Inc.,EVBG,cs
2019-04-02,2298,True,Evans Bancorp Inc.,EVBN,cs
2019-04-02,2300,True,Entravision Communications Corporation,EVC,cs
2019-04-02,14708,True,EverQuote Inc.,EVER,cs
2019-04-02,2304,True,Eaton Vance Senior Income Trust,EVF,cs
2019-04-02,9392,True,Evofem Biosciences Inc.,EVFM,cs
2019-04-02,13841,False,Eaton Vance Floating-Rate NextShares,EVFTC,N/A
2019-04-02,2305,True,Eaton Vance Short Diversified Income Fund Duration Diversified Income Fund of Beneficial Interest,EVG,cs
2019-04-02,11190,False,Eaton Vance Global Income Builder NextShares,EVGBC,N/A
2019-04-02,8132,True,Evogene Ltd.,EVGN,cs
2019-04-02,9968,True,Evolent Health Inc Class A,EVH,cs
2019-04-02,2306,True,EVI Industries Inc.,EVI,cs
2019-04-02,12858,True,VelocityShares 1x Long VSTOXX Futures ETN,EVIX,N/A
2019-04-02,2308,True,Ever-Glory International Group Inc.,EVK,cs
2019-04-02,11191,False,Eaton Vance TABS 5-to-15 Year Laddered Municipal B,EVLMC,N/A
2019-04-02,14448,True,Evelo Biosciences Inc.,EVLO,cs
2019-04-02,7390,True,EVINE Live Inc.,EVLV,cs
2019-04-02,2309,True,Eaton Vance California Municipal Bond Fund of Beneficial Interest $.01 par value,EVM,cs
2019-04-02,2310,True,Eaton Vance Municipal Income Trust,EVN,cs
2019-04-02,2312,True,Evoke Pharma Inc.,EVOK,cs
2019-04-02,2313,True,Evolving Systems Inc.,EVOL,cs
2019-04-02,14478,True,EVO Payments Inc.,EVOP,cs
2019-04-02,2315,True,Evercore Inc. Class A,EVR,cs
2019-04-02,14692,True,Evergy Inc.,EVRG,cs
2019-04-02,2775,True,Everi Holdings Inc.,EVRI,cs
2019-04-02,11098,False,Eaton Vance Stock NextShares,EVSTC,N/A
2019-04-02,2317,True,Eaton Vance Tax Advantaged Dividend Income Fund of Beneficial Interest,EVT,cs
2019-04-02,2318,True,Evertec Inc.,EVTC,cs
2019-04-02,2319,True,Eaton Vance Limited Duration Income Fund of Beneficial Interest,EVV,cs
2019-04-02,2320,True,VanEck Vectors Environmental Services,EVX,et
